"english_item_id","word_pairs","english_word_full","french_item_id","french_word_full","One_to_Many","rank","cognate_status"
1,"baa_baa - beee_beee","baa_baa",2,"beee_beee",NA,NA,"cognate"
2,"choo_choo - tchou_tchou","choo_choo",10,"tchou_tchou",NA,NA,"cognate"
3,"cockadoodledoo - cocorico","cockadoodledoo",3,"cocorico",NA,NA,"non-cognate"
4,"grr - grr","grr",5,"grr",NA,NA,"cognate"
5,"meow - miaou","meow",7,"miaou",NA,NA,"cognate"
6,"moo - meuh","moo",8,"meuh",NA,NA,"cognate"
7,"ouch - aie","ouch",1,"aie",NA,NA,"non-cognate"
8,"quack_quack - coin_coin","quack_quack",4,"coin_coin",NA,NA,"cognate"
9,"uh_oh - oh_oh","uh_oh",9,"oh_oh",NA,NA,"cognate"
10,"vroom - vroum","vroom",11,"vroum",NA,NA,"cognate"
11,"woof_woof - wouf_wouf","woof_woof",12,"wouf_wouf",NA,NA,"cognate"
12,"yum_yum - miam_miam","yum_yum",6,"miam_miam",NA,NA,"cognate"
13,"alligator - alligator_crocodile","alligator",15,"alligator_crocodile",NA,NA,"non-cognate"
14,"animal - animal","animal",17,"animal",NA,111,"cognate"
15,"ant - fourmi","ant",29,"fourmi",NA,NA,"non-cognate"
16,"bear - ours","bear",40,"ours",NA,NA,"non-cognate"
17,"bee - abeille","bee",13,"abeille",NA,6,"cognate"
18,"bird - oiseau","bird",38,"oiseau",NA,NA,"non-cognate"
19,"bug - bibitte","bug",18,"bibitte",NA,NA,"non-cognate"
20,"bunny - lapin","bunny",33,"lapin",NA,NA,"non-cognate"
21,"butterfly - papillon","butterfly",43,"papillon",NA,NA,"non-cognate"
22,"cat - chat","cat",20,"chat",NA,43,"cognate"
23,"chicken - poulet","chicken",47,"poulet",NA,NA,"non-cognate"
24,"cow - vache","cow",52,"vache",NA,NA,"non-cognate"
25,"deer - chevreuil","deer",22,"chevreuil",NA,NA,"non-cognate"
26,"dog - chien","dog",23,"chien",NA,NA,"non-cognate"
27,"donkey - ane","donkey",16,"ane",NA,NA,"non-cognate"
28,"duck - canard","duck",19,"canard",NA,NA,"non-cognate"
29,"elephant - éléphant","elephant",28,"éléphant",NA,102,"cognate"
30,"fish - poisson","fish",45,"poisson",NA,NA,"non-cognate"
31,"frog - grenouille","frog",31,"grenouille",NA,NA,"non-cognate"
32,"giraffe - girafe","giraffe",30,"girafe",NA,108.5,"cognate"
33,"goose - oie","goose",37,"oie",NA,NA,"non-cognate"
34,"hen - poule","hen",46,"poule",NA,NA,"non-cognate"
35,"horse - cheval","horse",21,"cheval",NA,NA,"non-cognate"
