"word_pairs","english_item_id","english_word_full","french_item_id","french_word_full","rank","cognate_status","lexical_category","english_category","french_category","Eng_AoA","Fr_AoA","matches"
"bubbles - bulles",75,"bubbles",72,"bulles",34,"cognate","nouns","toys","toys",18,21,"0.18.21.1"
"ear - oreille",190,"ear",198,"oreille",NA,"non-cognate","nouns","body_parts","body_parts",18,21,"0.18.21.1"
"flower - fleur",297,"flower",298,"fleur",48.5,"cognate","nouns","outside","outside",20,20,"0.20.20.1"
"mouth - bouche",201,"mouth",181,"bouche",NA,"non-cognate","nouns","body_parts","body_parts",20,20,"0.20.20.1"
"keys - clés",231,"keys",217,"clés",25,"cognate","nouns","household","household",21,21,"0.21.21.1"
"pig - cochon",44,"pig",24,"cochon",NA,"non-cognate","nouns","animals","animals",21,21,"0.21.21.1"
"telephone - téléphone",252,"telephone",250,"téléphone",113.5,"cognate","nouns","household","household",21,21,"0.21.21.2"
"bug - bibitte",19,"bug",18,"bibitte",NA,"non-cognate","nouns","animals","animals",21,21,"0.21.21.2"
"chair - chaise",267,"chair",256,"chaise",44,"cognate","nouns","furniture_rooms","furniture_rooms",21,21,"0.21.21.3"
"bed - lit",264,"bed",273,"lit",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",21,21,"0.21.21.3"
"moon - lune",303,"moon",302,"lune",8,"cognate","nouns","outside","outside",21,23,"0.21.23.1"
"toe - orteil",206,"toe",199,"orteil",NA,"non-cognate","nouns","body_parts","body_parts",21,23,"0.21.23.1"
"block - bloc",73,"block",71,"bloc",113.5,"cognate","nouns","toys","toys",21,23,"0.21.23.2"
"potty - pot",281,"potty",279,"pot",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",21,23,"0.21.23.2"
"cereal - céréales",97,"cereal",98,"céréales",85.5,"cognate","nouns","food_drink","food_drink",22,20,"0.22.20.1"
"cake - gateau",94,"cake",112,"gateau",NA,"non-cognate","nouns","food_drink","food_drink",22,20,"0.22.20.1"
