"english_item_id","word_pairs","english_word_full","french_item_id","french_word_full","rank","cognate_status","english_category","lexical_category","french_category","Eng_AoA","Fr_AoA"
14,"animal - animal","animal",17,"animal",111,"cognate","animals","nouns","animals",24,26
15,"ant - fourmi","ant",29,"fourmi",NA,"non-cognate","animals","nouns","animals",25,25
16,"bear - ours","bear",40,"ours",NA,"non-cognate","animals","nouns","animals",19,24
17,"bee - abeille","bee",13,"abeille",6,"cognate","animals","nouns","animals",21,25
18,"bird - oiseau","bird",38,"oiseau",NA,"non-cognate","animals","nouns","animals",17,19
19,"bug - bibitte","bug",18,"bibitte",NA,"non-cognate","animals","nouns","animals",21,21
20,"bunny - lapin","bunny",33,"lapin",NA,"non-cognate","animals","nouns","animals",21,20
21,"butterfly - papillon","butterfly",43,"papillon",NA,"non-cognate","animals","nouns","animals",23,22
22,"cat - chat","cat",20,"chat",43,"cognate","animals","nouns","animals",18,17
23,"chicken - poulet","chicken",47,"poulet",NA,"non-cognate","animals","nouns","animals",23,26
24,"cow - vache","cow",52,"vache",NA,"non-cognate","animals","nouns","animals",20,21
28,"duck - canard","duck",19,"canard",NA,"non-cognate","animals","nouns","animals",17,20
29,"elephant - éléphant","elephant",28,"éléphant",102,"cognate","animals","nouns","animals",23,22
30,"fish - poisson","fish",45,"poisson",NA,"non-cognate","animals","nouns","animals",19,20
31,"frog - grenouille","frog",31,"grenouille",NA,"non-cognate","animals","nouns","animals",22,22
32,"giraffe - girafe","giraffe",30,"girafe",108.5,"cognate","animals","nouns","animals",24,24
34,"hen - poule","hen",46,"poule",NA,"non-cognate","animals","nouns","animals",30,23
35,"horse - cheval","horse",21,"cheval",NA,"non-cognate","animals","nouns","animals",20,21
38,"lion - lion","lion",34,"lion",82.5,"cognate","animals","nouns","animals",23,22
39,"monkey - singe","monkey",48,"singe",NA,"non-cognate","animals","nouns","animals",21,24
41,"mouse - souris","mouse",49,"souris",NA,"non-cognate","animals","nouns","animals",23,23
42,"owl - hibou","owl",32,"hibou",NA,"non-cognate","animals","nouns","animals",24,26
43,"penguin - pingouin","penguin",44,"pingouin",87,"cognate","animals","nouns","animals",27,27
44,"pig - cochon","pig",24,"cochon",NA,"non-cognate","animals","nouns","animals",21,21
47,"rooster - coq","rooster",25,"coq",NA,"non-cognate","animals","nouns","animals",28,24
48,"sheep - mouton","sheep",36,"mouton",NA,"non-cognate","animals","nouns","animals",23,22
49,"squirrel - ecureuil","squirrel",27,"ecureuil",NA,"non-cognate","animals","nouns","animals",25,25
51,"tiger - tigre","tiger",50,"tigre",73.5,"cognate","animals","nouns","animals",24,25
53,"turtle - tortue","turtle",51,"tortue",46.5,"cognate","animals","nouns","animals",23,21
54,"wolf - loup","wolf",35,"loup",NA,"non-cognate","animals","nouns","animals",28,25
55,"zebra - zebre","zebra",53,"zebre",68.5,"cognate","animals","nouns","animals",25,28
56,"airplane - avion","airplane",56,"avion",NA,"non-cognate","vehicles","nouns","vehicles",20,20
57,"bicycle - bicyclette","bicycle",58,"bicyclette",52,"cognate","vehicles","nouns","vehicles",22,25
58,"boat - bateau","boat",57,"bateau",31,"cognate","vehicles","nouns","vehicles",21,18
59,"bus - autobus","bus",55,"autobus",31,"cognate","vehicles","nouns","vehicles",21,22
61,"firetruck - camion_de_pompier","firetruck",60,"camion_de_pompier",NA,"non-cognate","vehicles","nouns","vehicles",24,26
62,"helicopter - hélicoptère","helicopter",61,"hélicoptère",75.5,"cognate","vehicles","nouns","vehicles",25,26
63,"motorcycle - moto","motorcycle",62,"moto",41.5,"cognate","vehicles","nouns","vehicles",25,23
64,"sled - traineau","sled",66,"traineau",NA,"non-cognate","vehicles","nouns","vehicles",30,28
65,"stroller - poussette","stroller",63,"poussette",NA,"non-cognate","vehicles","nouns","vehicles",25,24
66,"tractor - tracteur","tractor",64,"tracteur",95,"cognate","vehicles","nouns","vehicles",25,22
67,"train - train","train",65,"train",79,"cognate","vehicles","nouns","vehicles",21,22
69,"truck - camion","truck",59,"camion",NA,"non-cognate","vehicles","nouns","vehicles",19,20
72,"bat - bâton","bat",70,"bâton",46.5,"cognate","toys","nouns","toys",26,25
73,"block - bloc","block",71,"bloc",113.5,"cognate","toys","nouns","toys",21,23
75,"bubbles - bulles","bubbles",72,"bulles",34,"cognate","toys","nouns","toys",18,21
76,"chalk - craie","chalk",76,"craie",NA,"non-cognate","toys","nouns","toys",27,29
77,"crayon - crayon_de_couleur","crayon",78,"crayon_de_couleur",37.5,"cognate","toys","nouns","toys",23,30
78,"doll - poupee","doll",85,"poupee",NA,"non-cognate","toys","nouns","toys",22,24
79,"game - jeu","game",80,"jeu",NA,"non-cognate","toys","nouns","toys",26,25
80,"glue - colle","glue",75,"colle",NA,"non-cognate","toys","nouns","toys",29,27
82,"pencil - crayon","pencil",77,"crayon",NA,"non-cognate","toys","nouns","toys",25,20
83,"play_dough - pate_a_modeler","play_dough",84,"pate_a_modeler",NA,"non-cognate","toys","nouns","toys",27,27
84,"present - cadeau","present",73,"cadeau",NA,"non-cognate","toys","nouns","toys",25,22
85,"puzzle - casse_tete","puzzle",74,"casse_tete",NA,"non-cognate","toys","nouns","toys",24,24
86,"story - histoire","story",79,"histoire",NA,"non-cognate","toys","nouns","toys",25,25
87,"toy - jouet","toy",81,"jouet",NA,"non-cognate","toys","nouns","toys",21,24
88,"apple - pomme","apple",133,"pomme",NA,"non-cognate","food_drink","nouns","food_drink",18,19
89,"applesauce - compote_aux_pommes","applesauce",104,"compote_aux_pommes",NA,"non-cognate","food_drink","nouns","food_drink",25,27
92,"bread - pain","bread",127,"pain",NA,"non-cognate","food_drink","nouns","food_drink",22,20
93,"butter - beurre","butter",90,"beurre",21,"cognate","food_drink","nouns","food_drink",24,25
94,"cake - gateau","cake",112,"gateau",NA,"non-cognate","food_drink","nouns","food_drink",22,20
95,"candy - bonbon","candy",95,"bonbon",NA,"non-cognate","food_drink","nouns","food_drink",23,21
96,"carrots - carotte","carrots",97,"carotte",97,"cognate","food_drink","nouns","food_drink",24,21
97,"cereal - céréales","cereal",98,"céréales",85.5,"cognate","food_drink","nouns","food_drink",22,20
99,"cheese - fromage","cheese",111,"fromage",NA,"non-cognate","food_drink","nouns","food_drink",18,20
100,"chicken - poulet","chicken",137,"poulet",NA,"non-cognate","food_drink","nouns","food_drink",23,23
101,"chocolate - chocolat","chocolate",101,"chocolat",77,"cognate","food_drink","nouns","food_drink",25,22
102,"coffee - cafe","coffee",96,"cafe",NA,"cognate","food_drink","nouns","food_drink",25,24
104,"cookie - biscuit","cookie",92,"biscuit",NA,"non-cognate","food_drink","nouns","food_drink",18,18
105,"corn - ble_d_inde","corn",94,"ble_d_inde",NA,"non-cognate","food_drink","nouns","food_drink",24,27
107,"donut - beigne","donut",89,"beigne",NA,"non-cognate","food_drink","nouns","food_drink",26,30
109,"egg - oeuf","egg",125,"oeuf",NA,"non-cognate","food_drink","nouns","food_drink",22,25
110,"fish - poisson","fish",132,"poisson",NA,"non-cognate","food_drink","nouns","food_drink",22,21
111,"food - nourriture","food",124,"nourriture",NA,"non-cognate","food_drink","nouns","food_drink",23,29
112,"french_fries - patate_frite","french_fries",129,"patate_frite",NA,"non-cognate","food_drink","nouns","food_drink",23,25
113,"grapes - raisin","grapes",138,"raisin",NA,"non-cognate","food_drink","nouns","food_drink",22,21
115,"gum - gomme","gum",114,"gomme",127,"cognate","food_drink","nouns","food_drink",27,28
116,"hamburger - hamburger","hamburger",115,"hamburger",119.5,"cognate","food_drink","nouns","food_drink",25,26
117,"ice - glace","ice",113,"glace",15.5,"cognate","food_drink","nouns","food_drink",23,27
118,"ice_cream - crème_glacée","ice_cream",107,"crème_glacée",4,"cognate","food_drink","nouns","food_drink",22,23
119,"jello - jello","jello",117,"jello",117.5,"cognate","food_drink","nouns","food_drink",28,29
120,"jelly - confiture","jelly",105,"confiture",NA,"non-cognate","food_drink","nouns","food_drink",26,27
122,"lollipop - sucon","lollipop",145,"sucon",NA,"non-cognate","food_drink","nouns","food_drink",27,28
123,"meat - viande","meat",149,"viande",NA,"non-cognate","food_drink","nouns","food_drink",26,26
124,"melon - melon","melon",120,"melon",89,"cognate","food_drink","nouns","food_drink",28,25
126,"muffin - muffin","muffin",121,"muffin",130.5,"cognate","food_drink","nouns","food_drink",26,25
129,"orange - orange","orange",126,"orange",99,"cognate","food_drink","nouns","food_drink",23,23
130,"pancake - crepe","pancake",108,"crepe",NA,"non-cognate","food_drink","nouns","food_drink",24,27
131,"peas - pois","peas",131,"pois",NA,"non-cognate","food_drink","nouns","food_drink",25,26
134,"pizza - pizza","pizza",130,"pizza",NA,"cognate","food_drink","nouns","food_drink",22,24
136,"popsicle - popsicle","popsicle",135,"popsicle",128,"cognate","food_drink","nouns","food_drink",26,27
138,"potato - patate","potato",128,"patate",54,"cognate","food_drink","nouns","food_drink",25,21
137,"potato_chip - chips","potato_chip",100,"chips",NA,"non-cognate","food_drink","nouns","food_drink",24,23
