word_pairs,english_word_full,french_word_full,rank
animal - animal,animal,animal,111
another - un autre,another,un autre,18
at - au,at,au,11
baby - bébé,baby,bébé,63
banana - banane,banana,banane,81
bat - bâton,bat,bâton,46.5
bath - bain,bath,bain,21
bee - abeille,bee,abeille,6
bench - banc,bench,banc,34
bicycle - bicyclette,bicycle,bicyclette,52
block - bloc,block,bloc,113.5
blue - bleu,blue,bleu,79
boat - bateau,boat,bateau,31
booboo - bobo,booboo,bobo,79
boots - bottes,boots,bottes,63
bottle - bouteille,bottle,bouteille,28
bowl - bol,bowl,bol,90
box - boîte,box,boîte,13
bravo - bravo,bravo,bravo,121
brown - brun,brown,brun,48.5
brush - brosse,brush,brosse,57
brush - brosser,brush,brosser,40
bubbles - bulles,bubbles,bulles,34
bus - autobus,bus,autobus,31
butter - beurre,butter,beurre,21
button - bouton,button,bouton,63
camera - caméra,camera,caméra,108.5
camping - camping,camping,camping,112
carrot - carotte,carrot,carotte,97
cat - chat,cat,chat,43
cereal - céréales,cereal,céréales,85.5
chair - chaise,chair,chaise,44
cheerios - cheerios,cheerios,cheerios,117.5
chocolate - chocolat,chocolate,chocolat,77
circus - cirque,circus,cirque,54
clown - clown,clown,clown,66.5
coke - coke,coke,coke,130.5
cover - couvrir,cover,couvrir,45
crayon - crayon de couleur,crayon,crayon de couleur,37.5
cut - couper,cut,couper,13
dance - danser,dance,danser,73.5
doctor - docteur,doctor,docteur,104.5
elephant - éléphant,elephant,éléphant,102
farm - ferme,farm,ferme,71.5
finish - finir,finish,finir,59.5
flower - fleur,flower,fleur,48.5
fork - fourchette,fork,fourchette,13
garage - garage,garage,garage,102
garden - jardin,garden,jardin,28
giraffe - girafe,giraffe,girafe,108.5
grandma - grand-maman,grandma,grand-maman,66.5
grandpa - grand-papa,grandpa,grand-papa,63
gum - gomme,gum,gomme,127
hamburger - hamburger,hamburger,hamburger,119.5
helicopter - hélicoptère,helicopter,hélicoptère,75.5
hello - allo,hello,allo,68.5
high chair - chaise haute,high chair,chaise haute,8
ice - glace,ice,glace,15.5
ice cream - crème glacée,ice cream,crème glacée,4
jeans - jeans,jeans,jeans,126
jello - jello,jello,jello,117.5
juice - jus,juice,jus,54
keys - clés,keys,clés,25
lamp - lampe,lamp,lampe,92
lion - lion,lion,lion,82.5
long - long,long,long,88
me - me,me,me,50.5
me - moi,me,moi,23
medicine - médicament,medicine,médicament,34
melon - melon,melon,melon,89
mine - le mien,mine,le mien,21
mittens - mitaine,mittens,mitaine,70
mommy - maman,mommy,maman,50.5
moon - lune,moon,lune,8
motorcycle - moto,motorcycle,moto,41.5
muffin - muffin,muffin,muffin,130.5
mustache - moustache,mustache,moustache,104.5
my - mon,my,mon,28
night - nuit,night,nuit,37.5
no - non,no,non,99
nose - nez,nose,nez,25
ok - ok,ok,ok,119.5
orange - orange,orange,orange,99
other - un autre,other,un autre,8
paint - peinturer,paint,peinturer,19
pajamas - pyjama,pajamas,pyjama,85.5
pants - pantalon,pants,pantalon,17
paper - papier,paper,papier,59.5
park - parc,park,parc,108.5
pee - pipi,pee,pipi,63
penguin - pingouin,penguin,pingouin,87
person - personne,person,personne,102
phone - téléphone,phone,téléphone,37.5
photo - photo,photo,photo,106
picnic - piquenique,picnic,piquenique,123
plant - plante,plant,plante,95
police - police,police,police,122
poor - pauvre,poor,pauvre,41.5
popcorn - popcorn,popcorn,popcorn,108.5
popsicle - popsicle,popsicle,popsicle,128
potato - patate,potato,patate,54
pudding - pouding,pudding,pouding,129
quiet - tranquille,quiet,tranquille,1
radio - radio,radio,radio,92
rock - roche,rock,roche,25
rocking chair - chaise berçante,rocking chair,chaise berçante,4
salt - sel,salt,sel,37.5
sandwich - sandwich,sandwich,sandwich,115.5
sauce - sauce,sauce,sauce,99
scissors - ciseaux,scissors,ciseaux,71.5
shoe - soulier,shoe,soulier,10
short - shorts,short,shorts,95
soup - soupe,soup,soupe,125
spaghetti - spaghetti,spaghetti,spaghetti,115.5
table - table,table,table,82.5
telephone - téléphone,telephone,téléphone,113.5
tiger - tigre,tiger,tigre,73.5
tongue - langue,tongue,langue,4
toothbrush - brosse à dent,toothbrush,brosse à dent,2
touch - toucher,touch,toucher,56
tractor - tracteur,tractor,tracteur,95
train - train,train,train,79
tricycle - tricycle,tricycle,tricycle,75.5
turn - tourner,turn,tourner,31
turtle - tortue,turtle,tortue,46.5
TV - télévision,TV,télévision,15.5
vanilla - vanille,vanilla,vanille,58
vitamins - vitamine,vitamins,vitamine,92
yogurt - yogourt,yogurt,yogourt,84
zebra - zebre,zebra,zebre,68.5
zoo - zoo,zoo,zoo,124
