Item_Number,English,Item_Number,French,One_to_Many
1,baa_baa,2,beee_beee,NA
2,choo_choo,10,tchou_tchou,NA
3,cockadoodledoo,3,cocorico,NA
4,grr,5,grr,NA
5,meow,7,miaou,NA
6,moo,8,meuh,NA
7,ouch,1,aie,NA
8,quack_quack,4,coin_coin,NA
9,uh_oh,9,oh_oh,NA
10,vroom,11,vroum,NA
11,woof_woof,12,wouf_wouf,NA
12,yum_yum,6,miam_miam,NA
13,alligator,15,alligator_crocodile,NA
14,animal,17,animal,NA
15,ant,29,fourmi,NA
16,bear,40,ours,NA
17,bee,13,abeille,NA
18,bird,38,oiseau,NA
19,bug,18,bibitte,NA
20,bunny,33,lapin,NA
21,butterfly,43,papillon,NA
22,cat,20,chat,NA
23,chicken,47,poulet,NA
24,cow,52,vache,NA
25,deer,22,chevreuil,NA
26,dog,23,chien,NA
27,donkey,16,ane,NA
28,duck,19,canard,NA
29,elephant,28,elephant,NA
30,fish,45,poisson,NA
31,frog,31,grenouille,NA
32,giraffe,30,girafe,NA
33,goose,37,oie,NA
34,hen,46,poule,NA
35,horse,21,cheval,NA
36,kitty,NA,NA,NA
37,lamb,14,agneau,NA
38,lion,34,lion,NA
39,monkey,48,singe,NA
40,moose,39,orignal,NA
41,mouse,49,souris,NA
42,owl,32,hibou,NA
43,penguin,44,pingouin,NA
44,pig,24,cochon,NA
45,pony,NA,NA,NA
46,puppy,NA,NA,NA
47,rooster,25,coq,NA
48,sheep,36,mouton,NA
49,squirrel,27,ecureuil,NA
50,teddy_bear,41,ourson_nounours,NA
51,tiger,50,tigre,NA
52,turkey,26,dinde,NA
53,turtle,51,tortue,NA
54,wolf,35,loup,NA
55,zebra,53,zebre,NA
56,airplane,56,avion,NA
57,bicycle,58,bicyclette,NA
58,boat,57,bateau,NA
59,bus,55,autobus,NA
60,car,54,auto,NA
61,firetruck,60,camion_de_pompier,NA
62,helicopter,61,helicoptere,NA
63,motorcycle,62,moto,NA
64,sled,66,traineau,NA
65,stroller,63,poussette,NA
66,tractor,64,tracteur,NA
67,train,65,train,NA
68,tricycle,67,tricycle,NA
69,truck,59,camion,NA
70,ball,68,balle,NA
71,balloon,69,ballon,NA
72,bat,70,baton,NA
73,block,71,bloc,NA
74,book,83,livre,NA
75,bubbles,72,bulles,NA
76,chalk,76,craie,NA
77,crayon,78,crayon_de_couleur,NA
78,doll,85,poupee,NA
79,game,80,jeu,NA
80,glue,75,colle,NA
81,pen,86,stylo,NA
82,pencil,77,crayon,NA
83,play_dough,84,pate_a_modeler,NA
84,present,73,cadeau,NA
85,puzzle,74,casse_tete,NA
86,story,79,histoire,NA
87,toy,81,jouet,NA
88,apple,133,pomme,NA
89,applesauce,104,compote_aux_pommes,NA
90,banana,88,banane,NA
91,beans,116,haricot,NA
92,bread,127,pain,NA
93,butter,90,beurre,NA
94,cake,112,gateau,NA
95,candy,95,bonbon,NA
96,carrots,97,carotte,NA
97,cereal,98,cereale,NA
98,cheerios,99,cheerios,NA
99,cheese,111,fromage,NA
100,chicken,137,poulet,NA
101,chocolate,101,chocolat,NA
102,coffee,96,cafe,NA
103,coke,103,coke,NA
104,cookie,92,biscuit,NA
